Original Field,ECS Field,Type,Field set,Level,Description
crlevel,botes.client.reputation.level,Keyword,Client,Extended,Client Reputation Level .
crscore,botes.client.reputation.score,Long,Client,Extended,Client Reputation Score.
rcvdbyte,destination.bytes,Long,Destination,Core,Bytes sent from the destination to the source.
dstintf,botes.destination.interface,Keyword,Destination,Extended,Interface of the destination.
dstip,destination.ip,Ip,Destination,Core,IP address of the destination.
dstport,destination.port,Long,Destination,Core,Port of the destination.
eventtype,event.category,Keyword,Event,Core,This contains high-level information about the contents of the event.
time,event.created,Date,Event,Core,"Event.created contains the date/time when the event was first read by an agent, or by your pipeline."
msg,botes.event.description,Text,Event,Extended,Description of the log event.
logid,event.id,Keyword,Event,Core,Optional log ID from device or observer.
message,event.original,Keyword,Event,Core,Raw text message of entire event.Used to demonstrate log integrity.
vendor_action,event.outcome,Keyword,Event,Extended,"The outcome of the event.If the event describes an action, this fields contains the outcome of that action."
method,threat.risk.method,Keyword,Threat,Extended,Rating override method by URL domain name or IP address.
severity,log.level,Keyword,Log,Core,Original log level of the log event.
date_zone,event.timezone,Keyword,Event,Extended,This field should be populated when the event’s timestamp does not include timezone information already
analyticssubmit,botes.file.analysis.flag,Boolean,FIle,Extended,Analysis status of particular file (true or false).
analyticscksum,file.hash.sha256,Keyword,File,Extended,SH256 file hash.
file_hash,file.hash.sha256,Keyword,File,Extended,The hash fields represent different hash algorithms and their values.
filename,file.name,Keyword,File,Extended,"Name of the file including the extension, without the directory."
file_path,file.path,Keyword,File,Extended,Full path to the file.
reqtype,botes.http.request.type,Keyword,HTTP,Extended,"HTTP Request type (Direct, Referral, etc.)."
level,log.level,Keyword,Log,Core,Original log level of the log event.
subtype,botes.log.subtype,Keyword,Log,Extended,Log Subtype.
type,botes.log.type,Keyword,Log,Extended,Log Type.
bytes,network.bytes,Long,Network,Core,Total bytes transferred in both directions.
direction,network.direction,Keyword,Network,Core,Direction of the network traffic.
proto,network.iana_number,Keyword,Network,Extended,IANA Protocol number 
service,network.protocol,Keyword,Network,Core,"L7 Network protocol name.ex.http, lumberjack, transport protocol."
sessionid,botes.network.session.id,Keyword,Network,Core,ID for the network session.
appcat,threat.application.category,Keyword,Threat,Extended,Category of the application monitored by an observer.
appid,threat.application.id,Keyword,Threat,Extended,Identifier of the application monitored by a particular observer.
applist,threat.application.list,Keyword,Threat,Extended,List of which the application monitored by an observer is part.
app,threat.application.name,Keyword,Threat,Extended,Name of the application monitored by an observer.
apprisk,threat.application.risk,Keyword,Threat,Extended,Risk of the application monitored by an observer.
attackid,threat.attack.id,Keyword,Threat,Extended,Identifer for a particular attack detected by an observer.
devname,observer.hostname,Keyword,Observer,Core,Hostname of the observer.
devid,botes.observer.id,Keyword,Observer,Extended,Device identifier of the observer.
ids_type,botes.observer.ids.type,Keyword,Observer,Core,The subtype of the observer the data is coming from.
incidentserialno,threat.incident.id,Keyword,Threat,Extended,Incident ID from observer when alert or signature trigger.
host,observer.ip,Ip,Observer,Core,IP address of the observer.
policyid,threat.policy.id,Keyword,Threat,Extended,"ID for policy of observer (WAF, Proxy, IPS, etc.)."
profile,threat.profile.name,Keyword,Threat,Extended,The name of the profile that was used to detect and take action.
catdesc,threat.proxy.category.desc,Keyword,Threat,Extended,"Description of webfilter category of an observer (Proxy, WAF, etc.)."
cat,threat.proxy.category.id,Keyword,Threat,Extended,"Identifier of webfilter category of an observer (Proxy, WAF, etc.)."
quarskip,threat.quarantine.explain,Keyword,Threat,Extended,Quarantine skip explanation.
attack,threat.signature.name,Keyword,Threat,Extended,The name of triggered signature.
ref,threat.signature.reference,Text,Threat,Extended,"Information provided about signature (Descritpion, URL, etc.)."
product,observer.type,Keyword,Observer,Core,The type of the observer the data is coming from.
vendor,observer.vendor,Keyword,Observer,Core,Observer vendor information.
virusid,threat.virus.id,Keyword,Threat,Extended,ID of detected virus for a particular observer vendor.
virus,threat.virus.name,Keyword,Threat,Extended,Name of detected virus.
dtype,threat.virus.type,Keyword,Threat,Extended,Data type for virus category.
sentbyte,source.bytes,Long,Source,Core,Bytes sent from the source to the destination.
srcintf,botes.source.interface,Keyword,Source,Core,Interface of the source.
srcip,source.ip,Ip,Source,Core,IP address of the source.
srcport,source.port,Long,Source,Core,Port of the source.
hostname,url.domain,Keyword,Url,Extended,Domain of the url.
url,url.full,Keyword,Url,Extended,"If full URLs are important to your use case, they should be stored here."
vendor_url,url.path,Keyword,Url,Extended,"Path of the request, such as ""/search""."
user,user.name,Keyword,User,Core,Short name or login of the user.
http_user_agent,user_agent.original,Keyword,User agent,Extended,Unparsed version of the user_agent
