Original Field,ECS Field,Type,Field set,Level,Description
bytes,network.bytes,Long,Network,Core,Total bytes transferred in both directions.
bytes_in,server.bytes,Long,Server,Core,Bytes sent from the server to the client.
bytes_out,client.bytes,Long,Source,Core,Bytes sent from the client to the server.
chaddr,dhcp.client.mac,Keyword,DHCP,Extended,MAC address of the DHCP client.
ciaddr,dhcp.client.ip,Ip,DHCP,Extended,"IP address of the DHCP client.Only filled in if client is in BOUND, RENEW or REBINDING state and can respond to ARP requests."
date_zone,event.timezone,Keyword,Event,Extended,This field should be populated when the event's timestamp does not include timezone information already
dest_ip,destination.ip,Ip,Destination,Core,IP address of the destination.
dest_mac,destination.mac,Keyword,Destination,Core,MAC address of the destination.
dest_port,destination.port,Long,Destination,Core,Port of the destination.
dns_server,dhcp.offer.dns,Ip,DHCP,Extended,DNS Server IP offered to client.
endtime,network.session.end,Date,Network,Extended,Date/time of the network session ending.
eventtype,event.category,Keyword,Event,Core,This contains high-level information about the contents of the event.
giaddr,dhcp.relay.ip,Ip,DHCP,Extended,"Relay agent IP address, used in booting via a relay agent.Value is 0x0 if no relay and client is on the same subnet as the server."
host,dhcp.server.hostname,Keyword,DHCP,Extended,Hostname of the DHCP server.
ip_lease_time,dhcp.client.lease,Long,DHCP,Extended,Lease duration of the DHCP client.
opcode,dhcp.message,Keyword,DHCP,Extended,DHCP message.
protocol,network.protocol,Keyword,Network,Core,"L7 Network protocol name.ex.http, lumberjack, transport protocol."
message,event.original,Keyword,Event,Core,Raw text message of entire event.Used to demonstrate log integrity.
router,dhcp.offer.gateway,Ip,DHCP,Extended,Gateway IP offered to client.
siaddr,dhcp.bootstrap.server.ip,Ip,DHCP,Extended,"IP address of next server to use in bootstrap.Returned in DHCPOFFER, DHCPACK by server."
src_ip,source.ip,Ip,Source,Core,IP address of the source.
src_mac,source.mac,Keyword,Source,Core,MAC address of the source.
src_port,source.port,Long,Source,Core,Port of the source.
subnetmask,dhcp.offer.subnetmask,Ip,DHCP,Extended,Subnet mask offered to client.
time,event.created,Date,Event,Core,"Event.created contains the date/time when the event was first read by an agent, or by your pipeline."
transaction_id,dhcp.transaction.id,Keyword,DHCP,Extended,DHCP query identifier.
transport,network.transport,Keyword,Network,Core,"Same as network.iana_number, but instead using the Keyword name of the transport layer (udp, tcp, etc.)"
yiaddr,dhcp.offer.ip,Ip,DHCP,Extended,IP address offered (DHCPOFFER) or assigned (DHCPACK) to client.
