Original Field,ECS Field,Type,Field set,Level,Description
accept,botes.http.request.accept,Keyword,HTTP,Extended,The Accept HTTP request header.
accept{},botes.http.request.accept,Keyword,HTTP,Extended,The Accept HTTP request header.
accept_language,botes.http.request.accept_language,Keyword,HTTP,Extended,The HTTP request header advertises which language a client is able to understand.
ack_packets_in,botes.client.packets.ack,Long,Client,Extended,The number of acknowledgement packets sent from client to server
ack_packets_out,botes.server.packets.ack,Long,Server,Extended,The number of acknowledgement packets sent from server to client
age,botes.http.response.age,Long,HTTP,Extended,The HTTP request header contains the time in seconds the object has been in a proxy cache
allow,botes.http.header.allow,Keyword,HTTP,Extended,The HTTP entity header lists the set of methods support by a resource.
bytes,network.bytes,Long,Network,Core,Total bytes transferred in both directions.
bytes_in,server.bytes,Long,Server,Core,Bytes sent from the server to the client.
bytes_out,client.bytes,Long,Client,Core,Bytes sent from the client to the server.
cached,botes.http.cached,Boolean,HTTP,Extended,"Value 1 if the response was cached, 0 if it was not."
cached{},botes.http.cached,Boolean,HTTP,Extended,"Value 1 if the response was cached, 0 if it was not."
canceled,botes.http.canceled.responses,Long,HTTP,Extended,Number of HTTP responses that were canceled early by the client
c_ip,client.ip,Ip,Client,Core,IP address of the client.
connection_type,botes.http.header.connection,Keyword,HTTP,Extended,The HTTP general header controls whether or not the network connection stays open after the current transaction finishes.
connection_type{},botes.http.header.connection,Keyword,HTTP,Extended,The HTTP general header controls whether or not the network connection stays open after the current transaction finishes.
content_disposition,botes.http.response.content_dispostion,Keyword,HTTP,Extended,The HTTP response header used to indicate the media type of the resource.
content_disposition{},botes.http.response.content_dispostion,Keyword,HTTP,Extended,The HTTP response header used to indicate the media type of the resource.
content_encoding,botes.http.header.content_encoding,Keyword,HTTP,Extended,"The HTTP entity header is used to compress the media-type.When present, its value indicates which encodings were applied to the entity-body."
content_location,botes.http.header.content_location,Keyword,HTTP,Extended,The HTTP entity header indicates an alternate location for the returned data.
