Original Field,ECS Field,Type,Field set,Level,Description
bytes,network.bytes,Long,Network,Core,Total bytes transferred in both directions.
bytes_in,destination.bytes,Long,Server,Core,Bytes sent from the destination to the source.
bytes_out,source.bytes,Long,Client,Core,Bytes sent from the source to the destination.
checksum,icmp.checksum,Long,ICMP,Extended,ICMP checksum.
code,icmp.code.id,Long,ICMP,Extended,ICMP code id.
code_string,icmp.code.name,Keyword,ICMP,Extended,ICMP code name.
date_zone,event.timezone,Keyword,Event,Extended,This field should be populated when the event's timestamp does not include timezone information already
dest_ip,destination.ip,Ip,Destination,Core,IP address of the destination.
dest_mac,destination.mac,Keyword,Destination,Core,MAC address of the destination.
endtime,network.session.end,Date,Network,Extended,Date/time of the network session ending.
eventtype,event.category,Keyword,Event,Core,This contains high-level information about the contents of the event.
id,icmp.transaction.id,Long,ICMP,Extended,ICMP query identifier.
message,event.original,Keyword,Event,Core,Raw text message of entire event.Used to demonstrate log integrity.
sequence,icmp.sequence.id,Long,ICMP,Extended,ICMP sequence id.
src_ip,source.ip,Ip,Source,Core,IP address of the source.
src_mac,source.mac,Keyword,Source,Core,MAC address of the source.
time,event.created,Date,Event,Core,"Event.created contains the date/time when the event was first read by an agent, or by your pipeline."
time_taken,network.session.duration,Long,Network,Core,Duration of the network session.
type,icmp.type.id,Long,ICMP,Extended,ICMP type id.
type_string,icmp.type.name,Keyword,ICMP,Extended,ICMP type name.
