Original Field,ECS Field,Type,Field set,Level,Description
bytes,network.bytes,Long,Network,Core,Total bytes transferred in both directions.
bytes_in,destination.bytes,Long,Server,Core,Bytes sent from the destination to the source.
bytes_out,source.bytes,Long,Client,Core,Bytes sent from the source to the destination.
date_zone,event.timezone,Keyword,Event,Extended,This field should be populated when the event’s timestamp does not include timezone information already
dest_ip,destination.ip,Ip,Destination,Core,IP address of the destination.
dest_mac,destination.mac,Keyword,Destination,Core,MAC address of the destination.
endtime,botes.network.session.end,Date,Network,Extended,Date/time of the network session ending.
eventtype,event.category,Keyword,Event,Core,This contains high-level information about the contents of the event.
fragment_count,botes.network.ip.fragment,Long,Network,Extended,Number of IP fragments.
packets,network.packets,Long,Network,Core,Total packets transferred in both directions.
packets_in,destination.packets,Long,Destination,Core,Packets sent from the destination to the source.
packets_out,source.packets,Long,Source,Core,Packets sent from the source to the destination.
protocol,network.transport,Keyword,Network,Core,"Same as network.iana_number, but instead using the Keyword name of the transport layer (udp, tcp, …)"
protoid,network.iana_number,Keyword,Network,Extended,IANA Protocol number 
message,event.original,Keyword,Event,Core,Raw text message of entire event.Used to demonstrate log integrity.
src_ip,source.ip,Ip,Source,Core,IP address of the source.
src_mac,source.mac,Keyword,Source,Core,MAC address of the source.
time,event.created,Date,Event,Core,"Event.created contains the date/time when the event was first read by an agent, or by your pipeline."
tos,botes.network.ip.tos,Long,Network,Extended,Type of service.
version,botes.network.ip.version,Long,Network,Extended,IP version.
