Original Field,ECS Field,Type,Field set,Level,Description
auth_type,mapi.auth.type,Keyword,MAPI,Extended,Authentication type used.
auth_type{},mapi.auth.type,Keyword,MAPI,Extended,Authentication type used.
bytes,network.bytes,Long,Network,Core,Total bytes transferred in both directions.
bytes_in,server.bytes,Long,Server,Core,Bytes sent from the server to the client.
bytes_out,client.bytes,Long,Client,Core,Bytes sent from the client to the server.
date_zone,event.timezone,Keyword,Event,Extended,This field should be populated when the event’s timestamp does not include timezone information already
dest_ip,destination.ip,Ip,Destination,Core,IP address of the destination.
dest_mac,destination.mac,Keyword,Destination,Core,MAC address of the destination.
dest_port,destination.port,Long,Destination,Core,Port of the destination.
domain,user.domain,Keyword,User,Extended,Name of the directory the user is a member of.
endtime,botes.network.session.end,Date,Network,Extended,Date/time of the network session ending.
eventtype,event.category,Keyword,Event,Core,This contains high-level information about the contents of the event.
login,user.name,Keyword,User,Core,Short name or login of the user.
login_server,server.user.name,Keyword,Server,Core,"Concatenated login and server: <login>@<server>, string."
message,event.original,Keyword,Event,Core,Raw text message of entire event.Used to demonstrate log integrity.
src_ip,source.ip,Ip,Source,Core,IP address of the source.
src_mac,source.mac,Keyword,Source,Core,MAC address of the source.
src_port,source.port,Long,Source,Core,Port of the source.
time,event.created,Date,Event,Core,"Event.created contains the date/time when the event was first read by an agent, or by your pipeline."
time_taken,botes.network.session.duration,Long,Network,Core,Duration of the network session.
transport,network.transport,Keyword,Network,Core,"Same as network.iana_number, but instead using the Keyword name of the transport layer (udp, tcp, …)"
