Original Field,ECS Field,Type,Field set,Level,Description
bytes,network.bytes,Long,Network,Core,Total bytes transferred in both directions.
bytes_in,server.bytes,Long,Server,Core,Bytes sent from the server to the client.
bytes_out,client.bytes,Long,Client,Core,Bytes sent from the client to the server.
command,smb.header.command,Keyword,SMB,Extended,Defined SMB command used.
command{},smb.header.command,Keyword,SMB,Extended,Defined SMB command used.
date_zone,event.timezone,Keyword,Event,Extended,This field should be populated when the event’s timestamp does not include timezone information already
dest_ip,destination.ip,Ip,Destination,Core,IP address of the destination.
dest_mac,destination.mac,Keyword,Destination,Core,MAC address of the destination.
dest_port,destination.port,Long,Destination,Core,Port of the destination.
dialect{},smb.version,Keyword,SMB,Extended,The version of the SMB Protocol
domain,user.domain,Keyword,User,Extended,Name of the directory the user is a member of.
endtime,botes.network.session.end,Date,Network,Extended,Date/time of the network session ending.
eventtype,event.category,Keyword,Event,Core,This contains high-level information about the contents of the event.
filename,file.name,Keyword,File,Extended,"Name of the file including the extension, without the directory."
filename{},file.name,Keyword,File,Extended,"Name of the file including the extension, without the directory."
filesize,file.size,Long,File,Extended,File size in bytes.
filesize{},file.size,Long,File,Extended,File size in bytes.
login,user.name,Keyword,User,Core,Short name or login of the user.
native_os,client.os.full,Keyword,Client,Extended,"Client operating system name, including the version or code name."
native_os{},client.os.full,Keyword,Client,Extended,"Client operating system name, including the version or code name."
nt_status,smb.header.error_status,Keyword,SMB,Extended,Used to communicate error messages from the server to the client.
nt_status{},smb.header.error_status,Keyword,SMB,Extended,Used to communicate error messages from the server to the client.
path,file.path,Keyword,File,Extended,Full path to the file.
message,event.original,Keyword,Event,Core,Raw text message of entire event.Used to demonstrate log integrity.
search_attributes,smb.search.attributes,Long,SMB,Extended,An attribute mask used to specify the standard attributes a file must have in order to match the search.
search_pattern,smb.search.pattern,Keyword,SMB,Extended,The file pattern to search for.
service,smb.service.type,Keyword,SMB,Extended,The type of resource that the client intends to access.
service{},smb.service.type,Keyword,SMB,Extended,The type of resource that the client intends to access.
src_ip,source.ip,Ip,Source,Core,IP address of the source.
src_mac,source.mac,Keyword,Source,Core,MAC address of the source.
src_port,source.port,Long,Source,Core,Port of the source.
time,event.created,Date,Event,Core,"Event.created contains the date/time when the event was first read by an agent, or by your pipeline."
time_taken,botes.network.session.duration,Long,Network,Core,Duration of the network session.
transport,network.transport,Keyword,Network,Core,"Same as network.iana_number, but instead using the Keyword name of the transport layer (udp, tcp, …)"
user_id,user.id,Keyword,User,Core,One or multiple unique identifiers of the user.
user_id{},user.id,Keyword,User,Core,One or multiple unique identifiers of the user.
