Original Field,ECS Field,Type,Field set,Level,Description
bytes,network.bytes,Long,Network,Core,Total bytes transferred in both directions.
bytes_in,server.bytes,Long,Server,Core,Bytes sent from the server to the client.
bytes_out,client.bytes,Long,Client,Core,Bytes sent from the client to the server.
community{},snmp.community.name,Keyword,SNMP,Extended,SNMP community name.
date_zone,event.timezone,Keyword,Event,Extended,This field should be populated when the event's timestamp does not include timezone information already
dest_ip,destination.ip,Ip,Destination,Core,IP address of the destination.
dest_mac,destination.mac,Keyword,Destination,Core,MAC address of the destination.
dest_port,destination.port,Long,Destination,Core,Port of the destination.
endtime,network.session.end,Date,Network,Extended,Date/time of the network session ending.
eventtype,event.category,Keyword,Event,Core,This contains high-level information about the contents of the event.
method{},snmp.request.type,Keyword,SNMP,Extended,SNMP request type.
packets,network.packets,Long,Network,Core,Total packets transferred in both directions.
packets_in,destination.packets,Long,Destination,Core,Packets sent from the destination to the source.
packets_out,source.packets,Long,Source,Core,Packets sent from the source to the destination.
message,event.original,Keyword,Event,Core,Raw text message of entire event.Used to demonstrate log integrity.
request_id,snmp.transaction.id,Keyword,SNMP,Extended,SNMP query identifier.
src_ip,source.ip,Ip,Source,Core,IP address of the source.
src_mac,source.mac,Keyword,Source,Core,MAC address of the source.
src_port,source.port,Long,Source,Core,Port of the source.
time,event.created,Date,Event,Core,"Event.created contains the date/time when the event was first read by an agent, or by your pipeline."
time_taken,network.session.duration,Long,Network,Core,Duration of the network session.
transport,network.transport,Keyword,Network,Core,"Same as network.iana_number, but instead using the Keyword name of the transport layer (udp, tcp, etc.)"
varbind_list{}.oid,snmp.oid.list,Keyword,SNMP,Extended,"Array containing OIDs, their values and their types."
version{},snmp.version,Keyword,SNMP,Extended,SNMP version.
