Original Field,ECS Field,Type,Field set,Level,Description
ack_packets_in,client.packets.ack,Long,Client,Extended,The number of acknowledgement packets sent from client to server
ack_packets_out,server.packets.ack,Long,Server,Extended,The number of acknowledgement packets sent from server to client
bytes,network.bytes,Long,Network,Core,Total bytes transferred in both directions.
bytes_in,server.bytes,Long,Server,Core,Bytes sent from the server to the client.
bytes_out,client.bytes,Long,Client,Core,Bytes sent from the client to the server.
canceled,http.canceled.responses,Long,HTTP,Extended,Number of HTTP responses that were canceled early by the client
data_packets_in,client.packets.data,Long,Server,Core,Packets sent from the client to the server.
data_packets_out,server.packets.data,Long,Client,Core,Packets sent from the server to the client.
date_zone,event.timezone,Keyword,Event,Extended,This field should be populated when the event's timestamp does not include timezone information already
dest_ip,destination.ip,Ip,Destination,Core,IP address of the destination.
dest_mac,destination.mac,Keyword,Destination,Core,MAC address of the destination.
dest_port,destination.port,Long,Destination,Core,Port of the destination.
endtime,network.session.end,Date,Network,Extended,Date/time of the network session ending.
eventtype,event.category,Keyword,Event,Core,This contains high-level information about the contents of the event.
missing_packets_in,client.packets.missing,Long,Client,Extended,The number of missing packet gaps detected within the request.
missing_packets_out,server.packets.missing,Long,Server,Extended,The number of missing packet gaps detected within the response.
packets,network.packets,Long,Network,Core,Total packets transferred in both directions.
packets_in,destination.packets,Long,Destination,Core,Packets sent from the destination to the source.
packets_out,source.packets,Long,Source,Core,Packets sent from the source to the destination.
message,event.original,Keyword,Event,Core,Raw text message of entire event.Used to demonstrate log integrity.
refused,http.request.refused,Long,HTTP,Extended,Number of requests that were refused by the server
src_ip,source.ip,Ip,Source,Core,IP address of the source.
src_mac,source.mac,Keyword,Source,Core,MAC address of the source.
src_port,source.port,Long,Source,Core,Port of the source.
ssl_cert_md5,tls.fingerprint.md5,Keyword,TLS,Extended,The (MD5) fingerprint of the TLS certificate.
ssl_cert_self_signed,tls.certificate.self_signed,Boolean,TLS,Extended,Specify is certificate is self-signed or not.
ssl_cert_sha1,tls.fingerprint.sha1,Keyword,TLS,Extended,The (SHA1) fingerprint of the TLS certificate.
ssl_cert_sha256,tls.fingerprint.sha256,Keyword,TLS,Extended,The (SHA256) fingerprint of the TLS certificate.
ssl_cipher_id,tls.cipher.id,Long,TLS,Extended,Identifer of the cipher used for the TLS certificate.
ssl_cipher_name,tls.cipher.name,Keyword,TLS,Extended,Name of the cipher used for the TLS certificate.
ssl_client_cipher_list{},tls.client.cipher.list,Keyword,TLS,Extended,Identifer list of the available cipher for the TLS certificate.
ssl_client_cipher_names{},tls.client.cipher.name,Keyword,TLS,Extended,Name list of the available cipher for the TLS certificate.
ssl_client_compression_methods{},tls.client.compression_method,Keyword,TLS,Extended,Name list of the available compression method for the TLS certificate.
ssl_client_hello_version,tls.client.hello.version,Keyword,TLS,Extended,Version of Hello protocol used by the client.
ssl_compression_method,tls.negociated.compression_method,Keyword,TLS,Extended,Name of the compression method used for the TLS certificate.
ssl_issuer,tls.issuer.dn,Keyword,TLS,Extended,The issuer distinguished name field from the TLS certificate.
ssl_issuer_common_name,tls.issuer.cn,Keyword,TLS,Extended,The issuer common name field from the TLS certificate.
ssl_issuer_country,tls.issuer.country,Keyword,TLS,Extended,The issuer country field from the TLS certificate.
ssl_issuer_email,tls.issuer.email,Keyword,TLS,Extended,The issuer email field from the TLS certificate.
ssl_issuer_locality,tls.issuer.locality,Keyword,TLS,Extended,The issuer locality field from the TLS certificate.
ssl_issuer_organization,tls.issuer.organization,Keyword,TLS,Extended,The issuer organization field from the TLS certificate.
ssl_issuer_state,tls.issuer.state,Keyword,TLS,Extended,The issuer state country field from the TLS certificate.
ssl_issuer_unit,tls.issuer.unit,Keyword,TLS,Extended,The issuer unit field from the TLS certificate.
ssl_publickey_algorithm,tls.publickey.algorithm,Keyword,TLS,Extended,Algorithm used for TLS public key.
ssl_publickey_bit_len,tls.publickey.length,Long,TLS,Extended,Length of TLS public key in bit.
ssl_serial,tls.serial.number,Keyword,TLS,Extended,The serial number of the TLS certificate.
ssl_signature_algorithm,tls.signature.algorithm,Keyword,TLS,Extended,Algorithm used for TLS certificate signature.
ssl_subject,tls.subject.dn,Keyword,TLS,Extended,The subject field from the TLS certificate.
ssl_subject_common_name,tls.subject.cn,Keyword,TLS,Extended,The subject common name field from the TLS certificate.
ssl_subject_country,tls.subject.country,Keyword,TLS,Extended,The subject country field from the TLS certificate.
ssl_subject_locality,tls.subject.locality,Keyword,TLS,Extended,The subject locality field from the TLS certificate.
ssl_subject_organization,tls.subject.organization,Keyword,TLS,Extended,The subject organization field from the TLS certificate.
ssl_subject_state,tls.subject.state,Keyword,TLS,Extended,The subject state field from the TLS certificate.
ssl_subject_unit,tls.subject.unit,Keyword,TLS,Extended,The subject unit field from the TLS certificate.
ssl_validity_end,tls.validity.end,Date,TLS,Extended,The end validity date of the SSL/TLS certificate.
ssl_validity_start,tls.validity.start,Date,TLS,Extended,The start validity date of the SSL/TLS certificate.
ssl_version,tls.version,Keyword,TLS,Extended,The SSL/TLS version used.
tcp_status,tcp.state,Keyword,TCP,Extended,TCP session state.
time,event.created,Date,Event,Core,"Event.created contains the date/time when the event was first read by an agent, or by your pipeline."
time_taken,network.session.duration,Long,Network,Core,Duration of the network session.
transport,network.transport,Keyword,Network,Core,"Same as network.iana_number, but instead using the Keyword name of the transport layer (udp, tcp, etc.)"
