Original Field,ECS Field,Type,Field set,Level,Description
msg,message,Text,Base,Core,"For log events the message field contains the log message, optimized for viewing in a log viewer."
data_packets_in,botes.client.packets.data,Long,Client,Extended,Packets sent from the client to the server.
missing_packets_in,botes.client.packets.missing,Long,Client,Extended,The number of missing packet gaps detected within the request.
missing_packets_in,botes.client.packets.missing,Long,Client,Extended,The number of missing packet gaps detected within the request.
crlevel,botes.client.reputation.level,Keyword,Client,Extended,Client Reputation Level.
crlevel,botes.client.reputation.level,Keyword,Client,Extended,Client Reputation Level.
crscore,botes.client.reputation.score,Long,Client,Extended,Client Reputation Score.
crscore,botes.client.reputation.score,Long,Client,Extended,Client Reputation Score.
bytes_out,client.bytes,Long,Client,Core,Bytes sent from the client to the server.
bytes_out,client.bytes,Long,Client,Core,Bytes sent from the client to the server.
bytes_out,client.bytes,Long,Client,Core,Bytes sent from the client to the server.
bytes_out,client.bytes,Long,Client,Core,Bytes sent from the client to the server.
bytes_out,client.bytes,Long,Client,Core,Bytes sent from the client to the server.
bytes_out,client.bytes,Long,Client,Core,Bytes sent from the client to the server.
bytes_out,client.bytes,Long,Client,Core,Bytes sent from the client to the server.
c_ip,client.ip,Ip,Client,Core,IP address of the client.
cs_username,client.user.name,Keyword,Client,Core,The name of the authenticated user that accessed the server. Anonymous users are indicated by a hyphen.
hostname,botes.destination.hostname,Keyword,Destination,Extended,Contains the Host Name of the destination.
netbios-name,botes.destination.hostname,Keyword,Destination,Extended,Contains the Host Name of the destination.
Target_Server_Name,botes.destination.hostname,Keyword,Destination,Extended,"Contains the name of the server on which the new process was run. Has ""localhost"" value if the process was run locally."
DestinationHostname,botes.destination.hostname,Keyword,Destination,Extended,Contains the Host Name of the destination.
dstintf,botes.destination.interface,Keyword,Destination,Extended,Interface of the destination.
dstintf,botes.destination.interface,Keyword,Destination,Extended,Interface of the destination.
in_iface,botes.destination.interface,Keyword,Destination,Extended,Interface of the destination.
network_interface,botes.destination.interface,Keyword,Destination,Extended,Interface of the destination.
DestinationIsIpv6,botes.destination.ipv6.flag,Boolean,Destination,Extended,Contains an indicator that shows whether destination IP is an IPv6 or not (True or False).
rcvdbyte,destination.bytes,Long,Destination,Core,Bytes sent from the destination to the source.
rcvdbyte,destination.bytes,Long,Destination,Core,Bytes sent from the destination to the source.
flow.bytes_toclient,destination.bytes,Long,Destination,Core,Bytes sent from the destination to the source.
bytes_in,destination.bytes,Long,Destination,Core,Bytes sent from the destination to the source.
dstip,destination.ip,Ip,Destination,Core,IP address of the destination.
dstip,destination.ip,Ip,Destination,Core,IP address of the destination.
dest_ip,destination.ip,Ip,Destination,Core,IP address of the destination.
host-ip,destination.ip,Ip,Destination,Core,IP address of the destination.
dest_ip,destination.ip,Ip,Destination,Core,IP address of the destination.
dest_ip,destination.ip,Ip,Destination,Core,IP address of the destination.
dest_ip,destination.ip,Ip,Destination,Core,IP address of the destination.
dest_ip,destination.ip,Ip,Destination,Core,IP address of the destination.
dest_ip,destination.ip,Ip,Destination,Core,IP address of the destination.
dest_ip,destination.ip,Ip,Destination,Core,IP address of the destination.
dest_ip,destination.ip,Ip,Destination,Core,IP address of the destination.
dest_ip,destination.ip,Ip,Destination,Core,IP address of the destination.
dest_ip,destination.ip,Ip,Destination,Core,IP address of the destination.
dest_ip,destination.ip,Ip,Destination,Core,IP address of the destination.
DestinationIp,destination.ip,Ip,Destination,Core,Contains the IP address of the destination.
mac-address,destination.mac,Keyword,Destination,Core,MAC address of the destination.
dest_mac,destination.mac,Keyword,Destination,Core,MAC address of the destination.
dest_mac,destination.mac,Keyword,Destination,Core,MAC address of the destination.
dest_mac,destination.mac,Keyword,Destination,Core,MAC address of the destination.
dest_mac,destination.mac,Keyword,Destination,Core,MAC address of the destination.
dest_mac,destination.mac,Keyword,Destination,Core,MAC address of the destination.
dest_mac,destination.mac,Keyword,Destination,Core,MAC address of the destination.
dest_mac,destination.mac,Keyword,Destination,Core,MAC address of the destination.
dest_mac,destination.mac,Keyword,Destination,Core,MAC address of the destination.
dest_mac,destination.mac,Keyword,Destination,Core,MAC address of the destination.
dest_mac,destination.mac,Keyword,Destination,Core,MAC address of the destination.
tranip,destination.nat.ip,Ip,Destination,Extended,NAT destination IP.
tranport,destination.nat.port,Long,Destination,Extended,NAT Destination Port.
operating-system,destination.os.full,Keyword,Destination,Extended,"Contains the full scanned destination(s) Operating system name, including the version or code name."
rcvdpkt,destination.packets,Long,Destination,Core,Packets sent from the destination to the source.
flow.pkts_toclient,destination.packets,Long,Destination,Core,Packets sent from the destination to the source.
packets_in,destination.packets,Long,Destination,Core,Packets sent from the destination to the source.
packets_in,destination.packets,Long,Destination,Core,Packets sent from the destination to the source.
packets_in,destination.packets,Long,Destination,Core,Packets sent from the destination to the source.
packets_in,destination.packets,Long,Destination,Core,Packets sent from the destination to the source.
dstport,destination.port,Long,Destination,Core,Contains Port of the destination.
dstport,destination.port,Long,Destination,Core,Contains Port of the destination.
dest_port,destination.port,Long,Destination,Core,Contains Port of the destination.
ports{}.port,destination.port,Long,Destination,Core,Contains Port of the destination.
dest_port,destination.port,Long,Destination,Core,Contains Port of the destination.
dest_port,destination.port,Long,Destination,Core,Contains Port of the destination.
dest_port,destination.port,Long,Destination,Core,Contains Port of the destination.
dest_port,destination.port,Long,Destination,Core,Contains Port of the destination.
dest_port,destination.port,Long,Destination,Core,Contains Port of the destination.
dest_port,destination.port,Long,Destination,Core,Contains Port of the destination.
dest_port,destination.port,Long,Destination,Core,Contains Port of the destination.
dest_port,destination.port,Long,Destination,Core,Contains Port of the destination.
DestinationPort,destination.port,Long,Destination,Core,Contains Port of the destination.
Network_Account_Domain,destination.user.domain,Keyword,Destination,Extended,Name of the directory the destination user is a member of.
Network_Account_Name,destination.user.name,Keyword,Destination,Core,Short name or login of the destination user.
siaddr,dhcp.bootstrap.server.ip,Ip,DHCP,Extended,"IP address of next server to use in bootstrap. Returned in DHCPOFFER, DHCPACK by server."
hostname,dhcp.client.hostname,Keyword,DHCP,Extended,Hostname of the DHCP client.
ciaddr,dhcp.client.ip,Ip,DHCP,Extended,"IP address of the DHCP client. Only filled in if client is in BOUND, RENEW or REBINDING state and can respond to ARP requests."
lease,dhcp.client.lease,Long,DHCP,Extended,Lease duration of the DHCP client.
ip_lease_time,dhcp.client.lease,Long,DHCP,Extended,Lease duration of the DHCP client.
chaddr,dhcp.client.mac,Keyword,DHCP,Extended,MAC address of the DHCP client.
